Name,MS,BNS,MGF,LM
GRB140521732,8.565e-01,1.429e-01,6.300e-04,5.682e-10
GRB140523129,1.000e+00,8.194e-11,9.057e-18,7.282e-12
GRB140526449,9.574e-01,4.261e-02,2.929e-05,2.994e-11
GRB140526571,1.642e-01,7.436e-01,9.220e-02,1.168e-10
GRB140528837,3.682e-01,4.654e-01,1.664e-01,1.227e-05
GRB140603476,9.967e-01,3.240e-03,1.791e-05,1.002e-11
GRB140605377,1.019e-01,5.115e-01,3.866e-01,6.829e-11
GRB140606133,1.000e+00,0.000e+00,0.000e+00,0.000e+00
GRB140608153,9.463e-01,5.366e-02,6.568e-05,1.621e-10
GRB140608713,7.364e-01,2.627e-01,8.800e-04,1.017e-09
GRB140610487,3.958e-01,5.615e-01,4.265e-02,7.077e-10
GRB140610548,9.993e-01,7.410e-04,2.107e-06,7.541e-12
GRB140610689,9.530e-01,4.670e-02,2.963e-04,2.031e-10
GRB140612294,8.911e-01,1.079e-01,9.724e-04,6.555e-10
GRB140616165,3.845e-01,3.695e-01,2.460e-01,3.076e-10
GRB140619475,1.371e-03,9.985e-01,1.126e-04,3.041e-13
GRB140619490,2.453e-01,6.315e-01,1.231e-01,3.094e-10
GRB140620219,8.997e-01,9.933e-02,9.221e-04,9.395e-10
GRB140621827,5.214e-08,1.000e+00,1.575e-06,5.264e-18
GRB140623224,8.499e-01,1.494e-01,6.186e-04,2.743e-10
GRB140624423,1.519e-01,4.767e-01,3.714e-01,1.685e-10
GRB140626843,2.639e-01,7.326e-01,3.524e-03,2.419e-10
GRB140627401,7.780e-01,2.187e-01,3.366e-03,5.224e-09
GRB140628626,7.911e-01,2.065e-01,2.402e-03,3.058e-09
GRB140630505,9.835e-01,1.644e-02,1.181e-05,6.773e-11
GRB140701567,8.091e-01,1.887e-01,2.165e-03,3.252e-09
GRB140701833,1.000e+00,7.909e-06,5.315e-06,3.228e-14
GRB140703026,9.773e-01,2.199e-02,6.960e-04,1.191e-10
GRB140705539,8.280e-01,1.701e-01,1.861e-03,2.128e-09
GRB140706815,9.613e-01,3.846e-02,2.395e-04,2.933e-10
GRB140709051,8.992e-01,1.008e-01,1.437e-06,1.338e-12
GRB140709637,5.401e-01,4.579e-01,1.965e-03,5.653e-10
GRB140710537,1.442e-04,3.350e-02,9.664e-01,2.053e-14
GRB140710901,8.087e-01,1.892e-01,2.048e-03,2.479e-09
GRB140712706,9.913e-01,8.686e-03,4.343e-05,1.879e-11
GRB140712973,9.853e-01,1.456e-02,1.271e-04,5.477e-11
GRB140713780,7.047e-01,2.918e-01,3.503e-03,2.119e-09
GRB140714268,9.997e-01,2.643e-04,1.882e-06,8.326e-13
GRB140715231,8.398e-01,1.585e-01,1.650e-03,1.805e-09
GRB140716306,6.479e-01,3.473e-01,4.865e-03,1.589e-09
GRB140716436,9.933e-01,6.735e-03,5.193e-06,5.930e-13
GRB140717827,8.969e-01,1.023e-01,8.311e-04,6.219e-10
GRB140720158,1.426e-01,5.017e-01,3.557e-01,1.556e-10
GRB140720280,8.086e-01,1.890e-01,2.379e-03,3.422e-09
